"Ticker","Nome","Negócios","Última (R$)","Variação"
"EVEN3","Even","333.800","6,93","-3,35%"
"MDIA3","M. Dias Branco","309.200","22,96","-0,35%"
"ORVR3","Orizon","291.200","73,02","+0,51%"
"MEAL3","IMC Alimentação","279.500","0,96","+0,00%"
"FRAS3","Fras-le","269.400","21,74","-0,96%"
"BRBI11","BR Partners","251.200","19,08","+0,95%"
"ITSA3","Itaúsa","236.300","13,97","+0,36%"
"MTRE3","Mitre Realty","235.200","3,76","-0,79%"
"DEXP3","Dexxos","230.400","7,11","+0,99%"
"AGRO3","BrasilAgro","223.600","20,31","-1,41%"
"OBTC3","OrangeBTC","211.300","7,09","-0,14%"
"TAEE4","Taesa","206.400","14,40","+0,35%"
"LEVE3","Mahle Metal Leve","205.500","35,30","+0,20%"
"RCSL3","Recrusul","205.200","0,65","-2,99%"
"LPSB3","Lopes","203.600","1,76","-2,22%"
"VITT3","Vittia","199.900","4,24","-0,93%"
"USIM3","Usiminas","197.000","6,78","+1,04%"
"UNIP6","Unipar","193.000","62,55","+0,66%"
"RNEW3","Renova Energia","147.100","1,05","-2,78%"
"INEP3","Inepar","146.300","1,72","+2,38%"
"TGMA3","Tegma","145.600","31,39","+0,61%"
"PFRM3","Profarma","136.900","8,18","-1,21%"
"TCSA3","Tecnisa","124.700","1,19","-4,03%"
"ENJU3","Enjoei","119.900","1,08","+0,93%"
"SAPR3","Sanepar","111.000","10,19","-2,02%"
"TAEE3","Taesa","103.900","14,09","-0,77%"
"CMIG3","Cemig","100.900","17,69","+2,55%"
"ALPK3","Estapar","100.200","4,36","-1,58%"
"BIOM3","Biomm","90.200","7,64","+1,73%"
"PTNT4","Pettenati","74.400","8,72","+0,35%"
"BPAC5","Banco BTG Pactual","72.000","16,78","+2,44%"
"NGRD3","Neogrid","71.800","32,04","+0,72%"
"SANB4","Banco Santander","71.300","15,58","-1,58%"
"AMAR3","Lojas Marisa","69.800","0,90","+0,00%"
"RNEW4","Renova Energia","68.600","1,07","+0,00%"
"IFCM3","Infracommerce","64.500","0,85","-3,41%"
"SCAR3","São Carlos","58.200","14,42","-0,41%"
"ETER3","Eternit","55.400","4,02","+0,00%"
"BRKM3","Braskem","48.700","7,42","-1,20%"
"CSUD3","CSU Cardsystem","46.800","17,81","+0,45%"
"SHOW3","Time For Fun","43.500","5,61","-0,53%"
"AGXY3","AgroGalaxy","43.100","2,09","-0,95%"
"TECN3","Technos","43.000","8,58","-3,27%"
"SANB3","Banco Santander","42.500","15,05","-0,99%"
"TPIS3","Triunfo","41.600","7,01","+4,47%"
"INEP4","Inepar","41.000","1,74","+4,82%"
"WHRL4","Whirlpool","37.800","4,29","-0,69%"
"BPAC3","Banco BTG Pactual","37.300","27,80","-4,14%"
"WEST3","Westwing","37.200","7,99","-1,11%"
"AERI3","Aeris Energy","36.800","2,36","-0,42%"
"PDGR3","PDG Realty","35.400","1,69","+0,60%"
"CEBR6","CEB","33.800","30,21","-4,55%"
"LUPA3","Lupatech","31.700","0,79","-1,25%"
"HAGA4","Haga","31.100","1,44","+0,00%"
"BMEB4","Banco Mercantil do Brasil","29.100","79,99","+1,90%"
"VSTE3","LE LIS BLANC","28.500","3,32","+0,30%"
"MATD3","Mater Dei","26.600","5,58","-0,89%"
