book,priority,cap,ticker,target_pct,stop_pct,time_cap_days,trades,active_months,take_profit_rate_pct,test_take_profit_rate_pct,profitable_rate_pct,test_profitable_rate_pct,average_trade_return_pct,test_average_trade_return_pct,profit_factor,test_profit_factor,score,strategy_code,strategy_label,entry_rule,trade_direction,state_signature,feature_keys,first_trade_date,last_trade_date
daytrade-cobertura-15,7,1D,HYPE3,1.5,3.0,1,15,8,93.33333333333333,100.0,93.33333333333333,100.0,1.2,1.5,7.0000,INF,728.8238815875968,asset_long_open_tp1_5_sl3_cap1__3f__gap_vs_range20=rel_near__sma20_slope_5d=near__day_of_week=tue,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Gap vs range medio 20D: perto do normal; Inclinacao da MM20 em 5D: perto do equilibrio; Dia da semana: terca-feira",open,long,Gap vs range medio 20D: perto do normal; Inclinacao da MM20 em 5D: perto do equilibrio; Dia da semana: terca-feira,"gap_vs_range20,sma20_slope_5d,day_of_week",2025-07-15,2026-05-12
daytrade-cobertura-15,16,1D,IGTI11,1.5,3.0,1,13,8,92.3076923076923,100.0,92.3076923076923,100.0,1.368946153846154,1.5,88.3652,INF,778.6361034618113,asset_long_open_tp1_5_sl3_cap1__3f__drawdown_10d=dd_1_3__atr_return_1d=rel_near__atr_return_5d=rel_up,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Queda desde maxima 10D: 1% a 3% abaixo da maxima; Retorno 1D normalizado por ATR: perto do normal; Retorno 5D normalizado por ATR: acima do normal",open,long,Queda desde maxima 10D: 1% a 3% abaixo da maxima; Retorno 1D normalizado por ATR: perto do normal; Retorno 5D normalizado por ATR: acima do normal,"drawdown_10d,atr_return_1d,atr_return_5d",2025-06-03,2026-04-15
daytrade-cobertura-15,17,1D,IRBR3,1.5,3.0,1,13,7,100.0,100.0,100.0,100.0,1.5,1.5,INF,INF,756.8730852799931,asset_long_open_tp1_5_sl3_cap1__2f__sma20_vs_sma50=dn_1_5__day_of_week=tue,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | MM20 vs MM50: abaixo leve; Dia da semana: terca-feira",open,long,MM20 vs MM50: abaixo leve; Dia da semana: terca-feira,"sma20_vs_sma50,day_of_week",2025-05-20,2026-05-05
daytrade-cobertura-15,41,1D,ITSA4,1.5,3.0,1,11,7,90.9090909090909,100.0,90.9090909090909,100.0,1.3289363636363636,1.5,39.2979,INF,750.5056505721749,asset_long_open_tp1_5_sl3_cap1__3f__sma20_slope_5d=near__gap_vs_atr14=rel_soft_dn__drawdown_5d=dd_1_3,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Inclinacao da MM20 em 5D: perto do equilibrio; Gap vs ATR14: levemente abaixo; Queda desde maxima 5D: 1% a 3% abaixo da maxima",open,long,Inclinacao da MM20 em 5D: perto do equilibrio; Gap vs ATR14: levemente abaixo; Queda desde maxima 5D: 1% a 3% abaixo da maxima,"sma20_slope_5d,gap_vs_atr14,drawdown_5d",2025-06-13,2026-04-02
daytrade-cobertura-15,55,1D,ITUB4,1.5,3.0,1,10,5,90.0,100.0,100.0,100.0,1.43262,1.5,INF,INF,751.580328888889,asset_long_open_tp1_5_sl3_cap1__3f__sma50_slope_10d=near__rsi_14=neutral_high__atr_return_5d=rel_shock_up,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Inclinacao da MM50 em 10D: perto do equilibrio; RSI 14 periodos: RSI neutro alto; Retorno 5D normalizado por ATR: muito acima do normal",open,long,Inclinacao da MM50 em 10D: perto do equilibrio; RSI 14 periodos: RSI neutro alto; Retorno 5D normalizado por ATR: muito acima do normal,"sma50_slope_10d,rsi_14,atr_return_5d",2025-08-08,2026-04-15
daytrade-cobertura-15,42,1D,LREN3,1.5,3.0,1,11,5,90.9090909090909,100.0,90.9090909090909,100.0,1.2369999999999999,1.5,10.7681,INF,716.297702337495,asset_long_open_tp1_5_sl3_cap1__3f__close_vs_sma50=dn_5_10__range_position_10d=middle__bb_position_20=lower_band,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Fechamento vs MM50: abaixo forte; Posicao no range 10D: fechou no meio; Posicao nas Bandas de Bollinger 20D: fechou na metade inferior",open,long,Fechamento vs MM50: abaixo forte; Posicao no range 10D: fechou no meio; Posicao nas Bandas de Bollinger 20D: fechou na metade inferior,"close_vs_sma50,range_position_10d,bb_position_20",2025-08-05,2026-05-06
daytrade-cobertura-15,43,1D,MOTV3,1.5,3.0,1,11,7,90.9090909090909,100.0,90.9090909090909,100.0,1.1175636363636363,1.5,5.5416,INF,716.5939746529411,asset_long_open_tp1_5_sl3_cap1__3f__gap_vs_range20=rel_soft_dn__range_position_10d=lower_band__rsi_14=neutral_low,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Gap vs range medio 20D: levemente abaixo; Posicao no range 10D: fechou na metade inferior; RSI 14 periodos: RSI neutro baixo",open,long,Gap vs range medio 20D: levemente abaixo; Posicao no range 10D: fechou na metade inferior; RSI 14 periodos: RSI neutro baixo,"gap_vs_range20,range_position_10d,rsi_14",2025-06-11,2026-04-29
daytrade-cobertura-15,56,1D,MRVE3,1.5,3.0,1,10,8,90.0,100.0,90.0,100.0,1.05,1.5,4.5000,INF,708.7818181818182,asset_long_open_tp1_5_sl3_cap1__2f__prev_ret_2d=up_1_3__day_of_week=tue,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Retorno acumulado 2D: alta de 1% a 3%; Dia da semana: terca-feira",open,long,Retorno acumulado 2D: alta de 1% a 3%; Dia da semana: terca-feira,"prev_ret_2d,day_of_week",2025-05-27,2026-03-24
daytrade-cobertura-15,27,1D,MULT3,1.5,3.0,1,12,4,91.66666666666666,100.0,91.66666666666666,100.0,1.125,1.5,5.5000,INF,682.9112277461587,asset_long_open_tp1_5_sl3_cap1__2f__sma20_vs_sma50=dn_1_5__atr_return_5d=rel_soft_up,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | MM20 vs MM50: abaixo leve; Retorno 5D normalizado por ATR: levemente acima",open,long,MM20 vs MM50: abaixo leve; Retorno 5D normalizado por ATR: levemente acima,"sma20_vs_sma50,atr_return_5d",2025-08-04,2026-04-02
daytrade-cobertura-15,68,1D,NATU3,1.5,3.0,1,8,6,100.0,100.0,100.0,100.0,1.5,1.5,INF,INF,770.7247198959356,asset_long_open_tp1_5_sl3_cap1__3f__streak_direction=up_1__rsi_14=neutral_low__volume_spike_1d=low,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Sequencia de altas/quedas: alta no ultimo pregao; RSI 14 periodos: RSI neutro baixo; Spike de volume vs maximo 5D: baixo",open,long,Sequencia de altas/quedas: alta no ultimo pregao; RSI 14 periodos: RSI neutro baixo; Spike de volume vs maximo 5D: baixo,"streak_direction,rsi_14,volume_spike_1d",2025-08-07,2026-05-15
