book,priority,cap,ticker,target_pct,stop_pct,time_cap_days,trades,active_months,take_profit_rate_pct,test_take_profit_rate_pct,profitable_rate_pct,test_profitable_rate_pct,average_trade_return_pct,test_average_trade_return_pct,profit_factor,test_profit_factor,score,strategy_code,strategy_label,entry_rule,trade_direction,state_signature,feature_keys,first_trade_date,last_trade_date
swing-cobertura-7d-4,44,7D,PRIO3,4.0,8.0,7,10,8,90.0,100.0,100.0,100.0,3.70939,4.0,INF,INF,887.8972953846154,asset_long_open_tp4_sl8_cap7__3f__gap_vs_range20=rel_soft_dn__positive_days_5d=soft_strong__positive_days_10d=strong,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | Gap vs range medio 20D: levemente abaixo; Dias positivos nos ultimos 5 pregoes: 3 dias positivos em 5D; Dias positivos nos ultimos 10 pregoes: 6 a 7 dias positivos em 10D",open,long,Gap vs range medio 20D: levemente abaixo; Dias positivos nos ultimos 5 pregoes: 3 dias positivos em 5D; Dias positivos nos ultimos 10 pregoes: 6 a 7 dias positivos em 10D,"gap_vs_range20,positive_days_5d,positive_days_10d",2025-05-22,2026-05-07
swing-cobertura-7d-4,10,7D,RDOR3,4.0,8.0,7,19,4,94.73684210526315,100.0,94.73684210526315,100.0,3.7552,4.0,110.5651,INF,879.87722412926,asset_long_open_tp4_sl8_cap7__3f__close_vs_sma50=dn_5_10__sma20_slope_5d=dn_1_5__compression_3v20=low,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | Fechamento vs MM50: abaixo forte; Inclinacao da MM20 em 5D: abaixo leve; Compressao 3D vs 20D: baixo",open,long,Fechamento vs MM50: abaixo forte; Inclinacao da MM20 em 5D: abaixo leve; Compressao 3D vs 20D: baixo,"close_vs_sma50,sma20_slope_5d,compression_3v20",2025-07-29,2026-03-31
swing-cobertura-7d-4,26,7D,SBSP3,4.0,8.0,7,14,4,92.85714285714286,100.0,100.0,100.0,3.923035714285714,4.0,INF,INF,878.4597385711402,asset_long_open_tp4_sl8_cap7__3f__sma20_vs_sma50=dn_1_5__sma50_slope_10d=near__compression_3v20=normal,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | MM20 vs MM50: abaixo leve; Inclinacao da MM50 em 10D: perto do equilibrio; Compressao 3D vs 20D: normal",open,long,MM20 vs MM50: abaixo leve; Inclinacao da MM50 em 10D: perto do equilibrio; Compressao 3D vs 20D: normal,"sma20_vs_sma50,sma50_slope_10d,compression_3v20",2025-07-29,2026-02-03
swing-cobertura-7d-4,21,7D,SMFT3,4.0,8.0,7,16,5,93.75,91.66666666666666,100.0,100.0,3.79963125,3.732841666666667,INF,INF,854.8085737501362,asset_long_open_tp4_sl8_cap7__2f__sma20_vs_sma50=dn_5_10__rsi_14=low,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | MM20 vs MM50: abaixo forte; RSI 14 periodos: RSI baixo",open,long,MM20 vs MM50: abaixo forte; RSI 14 periodos: RSI baixo,"sma20_vs_sma50,rsi_14",2025-07-30,2026-03-23
swing-cobertura-7d-4,46,7D,TOTS3,4.0,8.0,7,8,6,100.0,100.0,100.0,100.0,4.0,4.0,INF,INF,905.7247198959356,asset_long_open_tp4_sl8_cap7__3f__compression_3v20=low__range_position_5d=upper_band__positive_days_10d=neutral,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | Compressao 3D vs 20D: baixo; Posicao no range 5D: fechou na metade superior; Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D",open,long,Compressao 3D vs 20D: baixo; Posicao no range 5D: fechou na metade superior; Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D,"compression_3v20,range_position_5d,positive_days_10d",2025-06-13,2026-05-07
swing-cobertura-7d-4,27,7D,UGPA3,4.0,8.0,7,14,5,92.85714285714286,100.0,100.0,100.0,3.9075214285714286,4.0,INF,INF,889.6624560314577,asset_long_open_tp4_sl8_cap7__2f__prev_ret_10d=shock_up__positive_days_5d=soft_strong,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | Retorno acumulado 10D: choque de alta; Dias positivos nos ultimos 5 pregoes: 3 dias positivos em 5D",open,long,Retorno acumulado 10D: choque de alta; Dias positivos nos ultimos 5 pregoes: 3 dias positivos em 5D,"prev_ret_10d,positive_days_5d",2025-08-08,2026-04-06
swing-cobertura-7d-4,17,7D,USIM5,4.0,8.0,7,17,6,100.0,100.0,100.0,100.0,4.0,4.0,INF,INF,926.5935913710262,asset_long_open_tp4_sl8_cap7__3f__close_vs_sma20=up_1_5__range_position_20d=middle__atr_return_1d=rel_near,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | Fechamento vs MM20: acima leve; Posicao no range 20D: fechou no meio; Retorno 1D normalizado por ATR: perto do normal",open,long,Fechamento vs MM20: acima leve; Posicao no range 20D: fechou no meio; Retorno 1D normalizado por ATR: perto do normal,"close_vs_sma20,range_position_20d,atr_return_1d",2025-09-02,2026-04-24
swing-cobertura-7d-4,47,7D,VALE3,4.0,8.0,7,8,7,100.0,100.0,100.0,100.0,4.0,4.0,INF,INF,920.7247198959356,asset_long_open_tp4_sl8_cap7__3f__gap_vs_range20=rel_soft_up__drawdown_5d=near_high__day_of_week=wed,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | Gap vs range medio 20D: levemente acima; Queda desde maxima 5D: perto da maxima; Dia da semana: quarta-feira",open,long,Gap vs range medio 20D: levemente acima; Queda desde maxima 5D: perto da maxima; Dia da semana: quarta-feira,"gap_vs_range20,drawdown_5d,day_of_week",2025-07-02,2026-04-01
swing-cobertura-7d-4,11,7D,VBBR3,4.0,8.0,7,19,6,94.73684210526315,100.0,94.73684210526315,100.0,3.7748947368421053,4.0,259.9278,INF,911.6691165269208,asset_long_open_tp4_sl8_cap7__3f__sma20_vs_sma50=near__sma50_slope_10d=up_1_5__range_position_5d=middle,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | MM20 vs MM50: perto do equilibrio; Inclinacao da MM50 em 10D: acima leve; Posicao no range 5D: fechou no meio",open,long,MM20 vs MM50: perto do equilibrio; Inclinacao da MM50 em 10D: acima leve; Posicao no range 5D: fechou no meio,"sma20_vs_sma50,sma50_slope_10d,range_position_5d",2025-08-01,2026-04-09
swing-cobertura-7d-4,24,7D,VIVA3,4.0,8.0,7,15,8,93.33333333333333,100.0,93.33333333333333,100.0,3.2,4.0,7.0000,INF,852.8087300724453,asset_long_open_tp4_sl8_cap7__3f__compression_3v20=low__range_position_5d=upper_band__positive_days_10d=neutral,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | Compressao 3D vs 20D: baixo; Posicao no range 5D: fechou na metade superior; Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D",open,long,Compressao 3D vs 20D: baixo; Posicao no range 5D: fechou na metade superior; Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D,"compression_3v20,range_position_5d,positive_days_10d",2025-06-17,2026-05-05
swing-cobertura-7d-4,39,7D,WEGE3,4.0,8.0,7,11,4,90.9090909090909,100.0,90.9090909090909,100.0,2.909090909090909,4.0,5.0000,INF,807.8967980469223,asset_long_open_tp4_sl8_cap7__3f__sma5_vs_sma20=dn_1_5__sma20_slope_5d=dn_1_5__drawdown_5d=dd_1_3,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | MM5 vs MM20: abaixo leve; Inclinacao da MM20 em 5D: abaixo leve; Queda desde maxima 5D: 1% a 3% abaixo da maxima",open,long,MM5 vs MM20: abaixo leve; Inclinacao da MM20 em 5D: abaixo leve; Queda desde maxima 5D: 1% a 3% abaixo da maxima,"sma5_vs_sma20,sma20_slope_5d,drawdown_5d",2025-07-16,2026-03-24
swing-cobertura-7d-4,29,7D,YDUQ3,4.0,8.0,7,13,6,92.3076923076923,100.0,92.3076923076923,100.0,3.076923076923077,4.0,6.0000,INF,827.9325258394337,asset_long_open_tp4_sl8_cap7__3f__prev_ret_20d=shock_dn__close_vs_sma50=far_dn__compression_3v20=normal,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | Retorno acumulado 20D: choque de baixa; Fechamento vs MM50: muito abaixo; Compressao 3D vs 20D: normal",open,long,Retorno acumulado 20D: choque de baixa; Fechamento vs MM50: muito abaixo; Compressao 3D vs 20D: normal,"prev_ret_20d,close_vs_sma50,compression_3v20",2025-07-29,2026-05-08
